Organization,Degree,Specialisation,Year
Banaras Hindu University (BHU),BE,Comp Sci,2006
Indian Institute of Technology (Delhi),M.Tech,Electrical,2009
Aligarh Muslim University (AMU),M.Tech,Civil,1998
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,1994
Indian Institute of Science Education and Research (IISER),B.Tech,Electrical,2006
Tata Institute of Social Sciences (TISS),B.Tech,Manu,1980
National Institute of Technology (Calicut),B.Pharm,Medicine,2018
Indian Institute of Foreign Trade (IIFT),BE,Electrical,1990
National Institute of Design (NID),M.Tech,Electrical,1980
Indian Institute of Management (Kozhikode),M.Tech,Comp Sci,2002
National Institute of Fashion Technology (NIFT),B.A,History,2009
Indian Institute of Science Education and Research (IISER),B.Tech,Comp Sci,2021
National Institute of Technology (Calicut),M.Tech,Electrical,2004
Indian Institute of Technology (Roorkee),B.Pharm,Medicine,1983
Hansraj College,Ph.D,Sociology,2001
Birla Institute of Technology and Science (BITS Pilani),Ph.D,Medicine,1993
National Institute of Technology (Trichy),B.Pharm,Medicine,2020
Lady Shri Ram College for Women (LSR),B.A,History,2022
Indian Institute of Science Education and Research (IISER),Ph.D,Manu,2003
Delhi Technological University (DTU),B.A,English,2003
Indian Institute of Management (Kozhikode),Ph.D,Civil,1991
Lady Shri Ram College for Women (LSR),B.A,History,2020
Indian Statistical Institute (ISI),M.Tech,Mechanical,1986
Indian Institute of Science (IISc),B.A,History,2000
Xavier Labour Relations Institute (XLRI),Ph.D,Sociology,1988
Indian Statistical Institute (ISI),B.A,English,1983
Indian Institute of Management (Kolkata),B.Tech,Comp Sci,2002
Indian Institute of Science Education and Research (IISER),Ph.D,Comp Sci,2014
Indian Institute of Technology (Guwahati),BE,Comp Sci,1989
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,2009
Tata Institute of Social Sciences (TISS),B.Tech,Electrical,1985
Indian Institute of Science (IISc),B.Tech,Civil,1991
National Law University (NLU),B.Tech,Mechanical,2002
Indian Statistical Institute (ISI),M.Tech,Manu,2022
Indian Institute of Technology (Madras),B.A,Sociology,2018
Miranda House,Ph.D,Mechanical,2011
Indian Institute of Technology (Delhi),B.A,Sociology,2003
National Institute of Technology (Trichy),M.Tech,Mechanical,1991
St. Stephen's College,B.Pharm,Medicine,1993
Hansraj College,Ph.D,English,2021
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,2013
Indian Institute of Science (IISc),B.Pharm,Medicine,2001
Delhi Technological University (DTU),Ph.D,Comp Sci,2006
Indian Institute of Management (Indore),B.Pharm,Medicine,1988
Manipal Academy of Higher Education,BE,Manu,1998
Loyola College,M.Tech,Civil,1994
National Institute of Design (NID),Ph.D,History,2017
St. Stephen's College,M.Tech,Manu,1999
Christ University,M.Tech,Electrical,2021
National Institute of Fashion Technology (NIFT),M.Tech,Manu,1991
Indian Institutes of Technology (IITs),M.Tech,Manu,2006
National Institute of Technology (Calicut),B.A,English,1998
Indian Institute of Science Education and Research (IISER),B.A,Sociology,2003
National Law School of India University (NLSIU),B.Tech,Comp Sci,2004
National Law University (NLU),Ph.D,Manu,1991
Birla Institute of Technology and Science (BITS Pilani),Ph.D,Electrical,2006
National Institute of Technology (Warangal),B.Tech,Mechanical,1985
Indian Institute of Management (Indore),BE,Manu,1990
National Institute of Technology (NITs),B.Tech,Manu,2014
St. Stephen's College,Ph.D,Comp Sci,1980
National Institute of Technology (Calicut),B.A,Sociology,1981
Indian Statistical Institute (ISI),Ph.D,History,1980
All India Institute of Medical Sciences (AIIMS),Ph.D,History,1988
National Institute of Fashion Technology (NIFT),Ph.D,Civil,1998
Indian Institute of Management (Kolkata),B.Pharm,Medicine,1983
Indian Institute of Foreign Trade (IIFT),B.A,English,1993
Indian Institute of Science Education and Research (IISER),BE,Manu,2003
Loyola College,B.Pharm,Medicine,1995
National Institute of Technology (Jaipur),Ph.D,Mechanical,2005
National Institute of Technology (Trichy),Ph.D,Civil,2007
Presidency University,Ph.D,History,2003
Lady Shri Ram College for Women (LSR),B.Pharm,Medicine,2022
Delhi Technological University (DTU),B.A,History,2022
Indian Institute of Technology (Guwahati),B.Tech,Electrical,1982
National Law School of India University (NLSIU),BE,Electrical,2015
Birla Institute of Technology and Science (BITS Pilani),Ph.D,Manu,2001
Indian School of Business (ISB),M.Tech,Civil,2010
Indian Institute of Management (Ahmedabad),Ph.D,English,2002
Indian Institute of Management (Kolkata),Ph.D,History,1981
Indian Institute of Management (Indore),B.A,History,2021
National Institute of Fashion Technology (NIFT),B.A,English,2000
Birla Institute of Technology and Science (BITS Pilani),B.Pharm,Medicine,1983
National Institute of Design (NID),BE,Mechanical,2014
Lady Shri Ram College for Women (LSR),B.A,Psychology,2013
Aligarh Muslim University (AMU),Ph.D,Comp Sci,1998
Indian Institutes of Technology (IITs),B.Tech,Civil,2003
National Law School of India University (NLSIU),B.Tech,Comp Sci,1985
St. Stephen's College,B.Tech,Electrical,2006
Indian Institute of Management (Lucknow),B.Pharm,Medicine,2013
Indian Institutes of Technology (IITs),Ph.D,Comp Sci,2007
Indian Institutes of Technology (IITs),B.A,History,2008
Indian Institute of Technology (Guwahati),B.A,English,2013
Hansraj College,B.A,Sociology,2002
Tata Institute of Social Sciences (TISS),BE,Civil,1998
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,2004
Indian Institute of Technology (Bombay),M.Tech,Electrical,2007
National Institute of Technology (Surathkal),M.Tech,Civil,1984
Indian Institute of Technology (Delhi),BE,Civil,2012
Indian Institute of Technology (Bombay),M.Tech,Manu,1993
National Institute of Technology (Trichy),B.Pharm,Medicine,2015
Indian Statistical Institute (ISI),M.Tech,Electrical,1997
Indian Institutes of Technology (IITs),Ph.D,History,2006
National Institute of Fashion Technology (NIFT),B.Tech,Civil,2017
Indian School of Business (ISB),B.Tech,Electrical,1983
Delhi Technological University (DTU),Ph.D,Comp Sci,2019
National Institute of Technology (Trichy),BE,Manu,1992
National Law School of India University (NLSIU),B.Tech,Manu,2022
Tata Institute of Social Sciences (TISS),B.Pharm,Medicine,2022
Loyola College,B.Tech,Civil,1997
Indian Institute of Management (Ahmedabad),M.Tech,Mechanical,2013
Indian Statistical Institute (ISI),B.A,Psychology,1985
Indian Institute of Management (Kolkata),BE,Comp Sci,2002
Indian Statistical Institute (ISI),B.Tech,Comp Sci,1995
Christ University,BE,Manu,1995
Jawaharlal Nehru University (JNU),B.Tech,Comp Sci,2020
Jawaharlal Nehru University (JNU),Ph.D,Sociology,2000
National Institute of Design (NID),B.Tech,Manu,1987
All India Institute of Medical Sciences (AIIMS),B.A,Sociology,2014
Loyola College,B.Pharm,Medicine,2022
Indian Institute of Technology (Delhi),M.Tech,Civil,1990
National Institute of Technology (Trichy),B.Tech,Mechanical,2001
National Institute of Technology (Trichy),M.Tech,Mechanical,1999
National Institute of Technology (NITs),BE,Manu,1980
National Law School of India University (NLSIU),M.Tech,Comp Sci,1985
Indian Institute of Management (Lucknow),M.Tech,Comp Sci,2012
Indian Institute of Management (Lucknow),B.Tech,Civil,2017
All India Institute of Medical Sciences (AIIMS),M.Tech,Civil,2010
Symbiosis International University,B.Tech,Manu,1987
Indian Institute of Technology (Bhubaneswar),BE,Civil,2018
National Institute of Technology (Trichy),BE,Electrical,1997
Indian Institute of Management (Ahmedabad),BE,Comp Sci,2020
Indian School of Business (ISB),B.A,History,2004
National Institute of Technology (Warangal),B.Tech,Comp Sci,1981
National Law University (NLU),B.Pharm,Medicine,1980
Birla Institute of Technology and Science (BITS Pilani),M.Tech,Manu,2022
Symbiosis International University,BE,Civil,2013
Indian Institute of Technology (Kanpur),BE,Comp Sci,2015
National Institute of Technology (Surathkal),M.Tech,Civil,1998
National Institute of Technology (Surathkal),Ph.D,Psychology,2005
Xavier Labour Relations Institute (XLRI),B.Tech,Manu,2005
Indian Statistical Institute (ISI),B.A,History,1994
Indian Institute of Technology (Banaras Hindu University),B.Tech,Comp Sci,1985
Birla Institute of Technology and Science (BITS Pilani),Ph.D,Civil,2013
Indian Institute of Technology (Kanpur),B.Pharm,Medicine,2006
Indian Statistical Institute (ISI),B.Pharm,Medicine,1988
Indian Institute of Management (Kolkata),B.A,History,2013
Indian Institute of Management (Kolkata),B.Pharm,Medicine,2002
National Institute of Technology (NITs),Ph.D,Mechanical,1994
National Institute of Fashion Technology (NIFT),BE,Civil,2018
Jawaharlal Nehru University (JNU),B.Pharm,Medicine,1983
Xavier Labour Relations Institute (XLRI),M.Tech,Civil,1987
Delhi Technological University (DTU),M.Tech,Civil,2005
Tata Institute of Social Sciences (TISS),Ph.D,Civil,2014
Loyola College,BE,Comp Sci,2016
Indian Institute of Technology (Guwahati),B.A,Psychology,2013
Symbiosis International University,BE,Mechanical,1996
National Institute of Technology (Warangal),BE,Mechanical,2012
National Institute of Technology (Jaipur),Ph.D,Manu,2016
Indian Institutes of Technology (IITs),M.Tech,Manu,2001
Indian Institute of Technology (Banaras Hindu University),BE,Electrical,1984
National Institute of Technology (Jaipur),M.Tech,Comp Sci,1980
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1990
Indian Institute of Technology (Kanpur),B.A,English,2011
National Institute of Design (NID),B.Tech,Electrical,1985
National Institute of Technology (Jaipur),B.Pharm,Medicine,1997
Miranda House,B.Pharm,Medicine,2009
Jawaharlal Nehru University (JNU),Ph.D,Electrical,2014
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,1990
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1996
Tata Institute of Social Sciences (TISS),B.A,Psychology,1999
Indian Institutes of Technology (IITs),B.A,History,1993
Indian Institute of Management (Kozhikode),B.Tech,Mechanical,1992
Manipal Academy of Higher Education,Ph.D,Civil,2001
Indian Institute of Technology (Bombay),M.Tech,Manu,2001
St. Stephen's College,M.Tech,Comp Sci,1990
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,2006
Indian School of Business (ISB),BE,Mechanical,2014
Banaras Hindu University (BHU),BE,Civil,2000
Indian Institute of Technology (Banaras Hindu University),M.Tech,Electrical,2005
Presidency University,M.Tech,Electrical,2000
Loyola College,B.Pharm,Medicine,2003
Indian Institute of Technology (Madras),B.A,Psychology,1992
National Institute of Technology (NITs),M.Tech,Comp Sci,2013
Indian Institute of Technology (Kanpur),B.Tech,Electrical,1980
Lady Shri Ram College for Women (LSR),B.Tech,Comp Sci,1995
Indian Institute of Management (Ahmedabad),B.Tech,Civil,2003
National Institute of Fashion Technology (NIFT),M.Tech,Mechanical,2006
Jawaharlal Nehru University (JNU),Ph.D,Manu,2015
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,2009
Xavier Labour Relations Institute (XLRI),M.Tech,Electrical,2000
Lady Shri Ram College for Women (LSR),B.Tech,Mechanical,2018
Xavier Labour Relations Institute (XLRI),B.A,Sociology,1989
Indian Institute of Technology (Kanpur),B.A,Sociology,2017
Miranda House,B.A,Sociology,2020
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,2020
Indian Institute of Science Education and Research (IISER),B.A,History,2021
Christ University,B.Pharm,Medicine,2003
Indian Institute of Management (Lucknow),Ph.D,Electrical,2007
Indian Institute of Technology (Kanpur),BE,Comp Sci,1994
Symbiosis International University,Ph.D,Comp Sci,2002
Presidency University,B.Pharm,Medicine,1987
Indian Institute of Technology (Bombay),Ph.D,Comp Sci,1998
Indian Institute of Technology (Madras),B.A,History,2010
Christ University,B.A,Psychology,1989
National Institute of Technology (Jaipur),M.Tech,Manu,2015
Hansraj College,B.A,Sociology,2019
Loyola College,Ph.D,Medicine,1999
National Law School of India University (NLSIU),B.Pharm,Medicine,1995
Indian Institute of Technology (Madras),M.Tech,Civil,1994
National Institute of Technology (Jaipur),B.A,Psychology,1995
Lady Shri Ram College for Women (LSR),B.Pharm,Medicine,2007
National Institute of Technology (Surathkal),Ph.D,Comp Sci,1985
National Institute of Technology (Trichy),B.Tech,Manu,1994
Indian Institute of Foreign Trade (IIFT),BE,Electrical,2018
Symbiosis International University,B.A,Sociology,2012
National Institute of Technology (Surathkal),Ph.D,Mechanical,2021
Aligarh Muslim University (AMU),Ph.D,Medicine,2022
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,2006
Indian Statistical Institute (ISI),B.A,Sociology,1986
Indian School of Business (ISB),BE,Mechanical,1996
National Institute of Technology (Surathkal),Ph.D,Mechanical,2019
Indian Institutes of Technology (IITs),B.Tech,Mechanical,2013
National Institute of Technology (NITs),BE,Electrical,2007
Indian Institute of Management (Kozhikode),BE,Civil,1984
Indian Institute of Foreign Trade (IIFT),BE,Civil,1980
Indian Institute of Technology (Kanpur),B.Tech,Civil,1984
Indian Statistical Institute (ISI),Ph.D,Psychology,2001
Indian Institute of Management (Ahmedabad),BE,Mechanical,1990
Christ University,Ph.D,Sociology,1995
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1998
Indian Institute of Technology (Delhi),Ph.D,Civil,2017
Indian Institute of Technology (Madras),B.A,History,1982
National Institute of Technology (Trichy),B.Tech,Electrical,2011
Banaras Hindu University (BHU),B.Tech,Manu,2022
Indian Institute of Technology (Bombay),B.A,Sociology,2001
St. Stephen's College,B.Tech,Electrical,1997
Indian Institute of Technology (Delhi),B.A,English,2015
National Law School of India University (NLSIU),M.Tech,Civil,2014
Indian Institute of Management (Kozhikode),B.Tech,Comp Sci,2000
National Institute of Technology (Jaipur),B.Tech,Civil,1985
National Law University (NLU),Ph.D,Manu,1984
Indian Institute of Technology (Bhubaneswar),B.A,English,1982
St. Stephen's College,B.Pharm,Medicine,2015
National Institute of Technology (Trichy),B.Pharm,Medicine,1989
Christ University,BE,Manu,1984
Indian Institute of Technology (Delhi),B.Pharm,Medicine,2021
Indian Statistical Institute (ISI),B.A,Sociology,2003
Indian School of Business (ISB),B.A,English,1995
Indian Institute of Management (Ahmedabad),M.Tech,Electrical,1982
St. Stephen's College,Ph.D,Civil,2013
Indian Statistical Institute (ISI),B.A,Sociology,1999
Indian Institute of Management (Lucknow),B.Tech,Manu,2002
Indian Institutes of Technology (IITs),B.A,History,1988
Jawaharlal Nehru University (JNU),B.A,Sociology,2020
Indian Institute of Science Education and Research (IISER),BE,Manu,2015
National Institute of Technology (NITs),Ph.D,History,1985
National Law School of India University (NLSIU),M.Tech,Electrical,1989
National Institute of Technology (Trichy),B.A,History,1995
National Institute of Technology (NITs),Ph.D,Civil,2018
Indian Institute of Science Education and Research (IISER),BE,Manu,2008
Indian Institute of Technology (Bhubaneswar),Ph.D,Manu,1982
Banaras Hindu University (BHU),BE,Comp Sci,2014
Xavier Labour Relations Institute (XLRI),M.Tech,Electrical,1989
Indian Statistical Institute (ISI),BE,Mechanical,1990
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1996
National Institute of Design (NID),B.A,English,1989
National Law School of India University (NLSIU),Ph.D,Civil,2008
National Institute of Technology (Trichy),Ph.D,Manu,2006
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1988
Xavier Labour Relations Institute (XLRI),B.A,English,2016
Birla Institute of Technology and Science (BITS Pilani),B.Pharm,Medicine,2000
Delhi Technological University (DTU),B.Pharm,Medicine,2010
Loyola College,M.Tech,Comp Sci,1980
Indian Institute of Technology (Madras),BE,Mechanical,2009
Indian Institute of Science Education and Research (IISER),M.Tech,Mechanical,2001
Loyola College,M.Tech,Electrical,2008
Presidency University,M.Tech,Civil,2011
Indian Institute of Technology (Banaras Hindu University),B.A,Psychology,2015
Indian Statistical Institute (ISI),M.Tech,Manu,2004
Indian Institute of Management (Indore),Ph.D,Medicine,1994
National Institute of Technology (Calicut),BE,Mechanical,2022
National Institute of Technology (Calicut),BE,Electrical,2007
Delhi Technological University (DTU),BE,Comp Sci,2001
National Institute of Technology (Calicut),B.Tech,Manu,2016
National Law University (NLU),M.Tech,Manu,2012
Miranda House,M.Tech,Manu,1989
National Institute of Technology (NITs),Ph.D,Psychology,2022
Indian Institute of Technology (Guwahati),BE,Electrical,1980
Indian School of Business (ISB),B.A,Psychology,1999
National Institute of Fashion Technology (NIFT),B.Tech,Civil,1985
Indian Institute of Management (Kozhikode),BE,Comp Sci,1999
Indian Institute of Technology (Madras),B.Tech,Electrical,1996
National Institute of Fashion Technology (NIFT),M.Tech,Electrical,2011
Xavier Labour Relations Institute (XLRI),B.Tech,Comp Sci,1996
Loyola College,B.A,English,1998
National Institute of Technology (Surathkal),B.A,Psychology,1999
Indian Institute of Technology (Madras),B.Tech,Comp Sci,2014
Indian Institute of Management (Indore),B.Tech,Electrical,2015
Indian Institute of Technology (Madras),B.Pharm,Medicine,1993
Hansraj College,M.Tech,Manu,2005
National Institute of Technology (Surathkal),B.Pharm,Medicine,2013
Indian Institute of Technology (Bombay),B.A,Psychology,1985
Lady Shri Ram College for Women (LSR),BE,Electrical,2009
National Institute of Technology (Trichy),Ph.D,Civil,2022
Indian Institute of Technology (Delhi),B.Tech,Mechanical,2000
Indian Institute of Technology (Bombay),B.A,Psychology,1985
National Institute of Design (NID),B.Pharm,Medicine,2015
Tata Institute of Social Sciences (TISS),M.Tech,Comp Sci,2015
Lady Shri Ram College for Women (LSR),BE,Manu,2000
Indian Institutes of Technology (IITs),M.Tech,Mechanical,2010
Presidency University,B.Tech,Electrical,1991
Tata Institute of Social Sciences (TISS),B.Tech,Comp Sci,2019
Indian Institute of Technology (Kanpur),B.A,History,2004
Tata Institute of Social Sciences (TISS),Ph.D,Civil,1980
Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,2004
Indian School of Business (ISB),Ph.D,History,2009
Indian Institute of Management (Kozhikode),B.A,History,1995
Indian Institute of Management (Kozhikode),BE,Civil,2020
Indian Institute of Technology (Roorkee),M.Tech,Civil,1984
Birla Institute of Technology and Science (BITS Pilani),B.Tech,Manu,2009
National Institute of Technology (Calicut),M.Tech,Electrical,1998
Xavier Labour Relations Institute (XLRI),B.Tech,Civil,2007
Indian Institute of Management (Kolkata),B.A,Psychology,2008
All India Institute of Medical Sciences (AIIMS),B.Pharm,Medicine,2006
Tata Institute of Social Sciences (TISS),B.Tech,Civil,1998
All India Institute of Medical Sciences (AIIMS),M.Tech,Comp Sci,1991
National Institute of Technology (Trichy),B.A,History,1989
National Institute of Fashion Technology (NIFT),B.Tech,Electrical,1998
Indian Institute of Technology (Bhubaneswar),M.Tech,Comp Sci,2001
National Institute of Fashion Technology (NIFT),B.Tech,Comp Sci,2004
Indian Institute of Management (Kolkata),M.Tech,Civil,1994
Indian Institute of Technology (Bombay),B.Tech,Comp Sci,2015
Presidency University,Ph.D,Electrical,1990
Indian Institute of Technology (Kanpur),B.Tech,Electrical,1988
National Institute of Technology (Surathkal),B.A,Psychology,2009
Indian Institute of Management (Lucknow),BE,Manu,1982
National Law University (NLU),Ph.D,Electrical,2006
Indian Institute of Technology (Bombay),M.Tech,Comp Sci,1982
Indian Institute of Technology (Madras),B.Tech,Mechanical,2003
National Institute of Technology (Trichy),Ph.D,Manu,1987
Tata Institute of Social Sciences (TISS),B.Tech,Civil,1999
National Institute of Technology (NITs),Ph.D,English,1989
Indian Statistical Institute (ISI),B.Pharm,Medicine,2018
Indian Institute of Technology (Roorkee),B.Pharm,Medicine,1987
Tata Institute of Social Sciences (TISS),B.Tech,Civil,2003
Lady Shri Ram College for Women (LSR),M.Tech,Electrical,2012
Indian Institute of Technology (Banaras Hindu University),Ph.D,Manu,2016
Indian School of Business (ISB),B.Pharm,Medicine,2018
Indian Institute of Technology (Banaras Hindu University),B.Tech,Manu,2004
Indian School of Business (ISB),BE,Manu,2011
Indian Institute of Technology (Guwahati),Ph.D,Electrical,2012
National Institute of Design (NID),B.Pharm,Medicine,1986
National Institute of Technology (Calicut),B.Tech,Electrical,1982
National Institute of Technology (Warangal),Ph.D,Manu,1980
Aligarh Muslim University (AMU),M.Tech,Electrical,2006
Indian Institute of Technology (Madras),M.Tech,Electrical,2017
National Institute of Design (NID),B.Pharm,Medicine,1982
Delhi Technological University (DTU),BE,Electrical,2021
Loyola College,BE,Mechanical,2014
Indian Statistical Institute (ISI),B.A,History,2007
Indian Institute of Management (Kozhikode),B.Tech,Manu,1982
Indian School of Business (ISB),BE,Civil,2021
Symbiosis International University,B.Tech,Electrical,2018
Tata Institute of Social Sciences (TISS),B.Pharm,Medicine,2007
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,2014
National Law University (NLU),B.Pharm,Medicine,2022
Presidency University,Ph.D,Electrical,1997
National Institute of Technology (Surathkal),Ph.D,Electrical,2012
National Institute of Fashion Technology (NIFT),B.Tech,Mechanical,2014
Indian Statistical Institute (ISI),B.A,Sociology,2015
Indian School of Business (ISB),M.Tech,Mechanical,2014
Hansraj College,B.Tech,Comp Sci,2008
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1989
Indian Institute of Management (Lucknow),M.Tech,Comp Sci,1993
St. Stephen's College,B.A,Sociology,1992
Indian Institute of Technology (Roorkee),BE,Manu,1991
Tata Institute of Social Sciences (TISS),M.Tech,Comp Sci,2019
National Law School of India University (NLSIU),BE,Comp Sci,2010
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,2019
National Institute of Technology (Jaipur),BE,Electrical,2021
Miranda House,Ph.D,Comp Sci,1985
Delhi Technological University (DTU),M.Tech,Electrical,2001
National Law University (NLU),B.Pharm,Medicine,2005
Loyola College,M.Tech,Manu,2003
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,2001
All India Institute of Medical Sciences (AIIMS),M.Tech,Electrical,2017
National Institute of Technology (Warangal),M.Tech,Manu,1990
Loyola College,M.Tech,Manu,2015
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,1987
Christ University,B.Tech,Mechanical,1993
Indian Institute of Technology (Banaras Hindu University),B.Tech,Civil,1986
Manipal Academy of Higher Education,Ph.D,English,1997
Indian Institute of Management (Kozhikode),M.Tech,Manu,1989
Indian Institute of Management (Kolkata),B.A,Psychology,2008
National Institute of Design (NID),B.A,Sociology,2018
Manipal Academy of Higher Education,B.Pharm,Medicine,2015
Hansraj College,B.A,Sociology,1999
Christ University,B.A,Sociology,1983
National Institute of Design (NID),B.Pharm,Medicine,2000
National Institute of Technology (Trichy),Ph.D,English,2017
Indian Institute of Technology (Banaras Hindu University),B.A,English,2019
Indian Institute of Science (IISc),BE,Civil,1980
National Institute of Technology (Calicut),B.Pharm,Medicine,2015
Indian Institute of Technology (Delhi),M.Tech,Manu,2006
Indian Institute of Technology (Madras),B.Tech,Civil,1988
National Institute of Technology (Warangal),BE,Manu,1993
Indian Statistical Institute (ISI),M.Tech,Manu,2013
National Law University (NLU),M.Tech,Electrical,1998
National Institute of Fashion Technology (NIFT),M.Tech,Civil,2003
National Institute of Technology (Warangal),M.Tech,Manu,1999
National Institute of Technology (Trichy),BE,Civil,1996
Loyola College,B.Tech,Civil,1991
Indian Institute of Technology (Bhubaneswar),B.A,Sociology,1999
Symbiosis International University,Ph.D,History,2007
Indian Institute of Technology (Guwahati),B.Tech,Electrical,2002
Indian Institute of Management (Indore),Ph.D,Psychology,1992
Indian Institute of Management (Kolkata),B.A,Sociology,2002
Indian Institute of Management (Kozhikode),BE,Civil,1990
Indian Institute of Technology (Roorkee),B.Tech,Comp Sci,1982
Hansraj College,B.A,Psychology,1982
Loyola College,B.Pharm,Medicine,2003
St. Stephen's College,B.A,Sociology,1994
National Law School of India University (NLSIU),M.Tech,Electrical,2022
Birla Institute of Technology and Science (BITS Pilani),B.A,History,1995
National Institute of Technology (Jaipur),B.Pharm,Medicine,1995
Indian Institute of Management (Kozhikode),Ph.D,Civil,2012
Indian Institute of Technology (Guwahati),BE,Comp Sci,2011
Christ University,B.Pharm,Medicine,2022
Birla Institute of Technology and Science (BITS Pilani),B.Pharm,Medicine,2002
Aligarh Muslim University (AMU),BE,Electrical,1996
Indian Institute of Technology (Kanpur),Ph.D,Comp Sci,2000
Indian Statistical Institute (ISI),M.Tech,Manu,2006
Jawaharlal Nehru University (JNU),BE,Manu,2009
Delhi Technological University (DTU),B.Tech,Electrical,1998
Symbiosis International University,M.Tech,Electrical,2016
Jawaharlal Nehru University (JNU),BE,Comp Sci,1982
All India Institute of Medical Sciences (AIIMS),Ph.D,Medicine,1994
Loyola College,B.A,Sociology,1985
Tata Institute of Social Sciences (TISS),Ph.D,Mechanical,2006
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,2013
Indian Statistical Institute (ISI),Ph.D,Electrical,2005
Indian School of Business (ISB),B.Tech,Manu,2017
Xavier Labour Relations Institute (XLRI),B.A,English,1990
National Institute of Technology (Surathkal),B.Pharm,Medicine,1992
St. Stephen's College,M.Tech,Manu,1991
Indian School of Business (ISB),B.Tech,Civil,1989
Indian Institute of Technology (Roorkee),B.Tech,Mechanical,2013
Symbiosis International University,B.A,History,1990
National Institute of Fashion Technology (NIFT),M.Tech,Manu,1984
Loyola College,B.Tech,Electrical,1991
Indian Institute of Science (IISc),Ph.D,History,1998
Indian Institute of Science Education and Research (IISER),M.Tech,Electrical,1983
Indian Institute of Management (Kolkata),B.Pharm,Medicine,1987
Indian Statistical Institute (ISI),B.Pharm,Medicine,2001
Presidency University,BE,Mechanical,2017
Symbiosis International University,B.A,History,1986
Indian Institute of Management (Kozhikode),B.Tech,Civil,2007
Indian Statistical Institute (ISI),B.Tech,Civil,1982
Loyola College,B.A,Psychology,2011
Indian Institute of Management (Kozhikode),B.A,Sociology,1987
Indian Institute of Technology (Bhubaneswar),BE,Electrical,2011
National Law University (NLU),M.Tech,Comp Sci,1983
Miranda House,B.Tech,Electrical,1994
Indian Institute of Science Education and Research (IISER),B.A,English,1997
Indian Institute of Technology (Kanpur),BE,Mechanical,2006
National Institute of Technology (Jaipur),Ph.D,History,1980
Delhi Technological University (DTU),B.Pharm,Medicine,2013
Loyola College,BE,Mechanical,2004
National Institute of Fashion Technology (NIFT),B.Tech,Comp Sci,2016
Delhi Technological University (DTU),B.A,Sociology,1998
Presidency University,B.Pharm,Medicine,1984
National Institute of Fashion Technology (NIFT),B.Tech,Manu,1991
Jawaharlal Nehru University (JNU),B.A,English,2018
All India Institute of Medical Sciences (AIIMS),B.Pharm,Medicine,2016
National Institute of Technology (Jaipur),M.Tech,Mechanical,1993
National Institute of Fashion Technology (NIFT),B.A,Psychology,2003
Indian Institute of Foreign Trade (IIFT),Ph.D,Mechanical,2014
Indian Institute of Technology (Roorkee),M.Tech,Electrical,2021
Indian Institute of Science (IISc),B.A,Sociology,2013
Indian Institute of Technology (Madras),B.A,History,1997
National Institute of Technology (Calicut),M.Tech,Mechanical,1998
National Institute of Technology (Jaipur),B.A,English,2007
Indian Institutes of Management (IIMs),Ph.D,Psychology,2011
Indian Institutes of Management (IIMs),B.Tech,Manu,2022
National Institute of Technology (Warangal),M.Tech,Mechanical,2013
Loyola College,B.Pharm,Medicine,2022
National Institute of Technology (Calicut),B.A,Sociology,2004
Banaras Hindu University (BHU),Ph.D,Manu,1990
Indian Institute of Technology (Guwahati),Ph.D,Mechanical,2020
Indian Institute of Science (IISc),B.Tech,Civil,1991
National Institute of Fashion Technology (NIFT),B.A,English,2004
Indian Statistical Institute (ISI),BE,Civil,1992
National Institute of Fashion Technology (NIFT),B.A,History,1997
All India Institute of Medical Sciences (AIIMS),B.A,Psychology,1995
Indian Statistical Institute (ISI),M.Tech,Comp Sci,2016
Indian Institute of Science Education and Research (IISER),B.A,Sociology,2013
Loyola College,BE,Mechanical,1983
Miranda House,M.Tech,Manu,2005
Birla Institute of Technology and Science (BITS Pilani),B.Pharm,Medicine,1996
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1992
Indian Institute of Science (IISc),BE,Comp Sci,1993
Christ University,B.Pharm,Medicine,2003
Tata Institute of Social Sciences (TISS),B.Tech,Mechanical,1996
